id,type,transition,wattage_nominal,P_peak_W,time_to_peak_ms,P_steady_W
1140,Air Conditioner,lowfan,740,71.4,769.1,46.8
1141,Air Conditioner,lowfan,740,68.8,738.4,46.6
1142,Air Conditioner,lowfan,740,68.0,1144.6,46.7
1143,Air Conditioner,lowfan,740,67.2,1336.3,46.5
1144,Air Conditioner,lowfan,740,68.0,1373.7,46.6
1175,Fridge,off-on,,912.3,461.3,86.5
1176,Fridge,off-on,,909.3,574.8,84.7
1177,Fridge,off-on,,922.3,455.5,86.1
1178,Fridge,off-on,,918.3,338.0,85.5
1179,Fridge,off-on,,903.7,1642.7,83.8
1200,Heater,high,1500,657.8,349.1,645.3
1201,Heater,high,1500,655.3,273.8,643.2
1202,Heater,high,1500,654.6,371.4,643.5
1203,Heater,high,1500,651.3,438.9,644.2
1204,Heater,high,1500,649.4,646.9,640.5
1205,Heater,low,1500,564.8,318.6,552.5
1206,Heater,low,1500,566.8,231.7,552.8
1207,Heater,low,1500,565.6,571.8,554.0
1208,Heater,low,1500,568.9,527.9,553.2
1209,Heater,low,1500,567.2,398.4,554.3
1210,Heater,high,1000,485.8,669.1,480.8
1211,Heater,high,1000,483.8,550.4,479.1
1212,Heater,high,1000,481.4,648.3,477.4
1213,Heater,high,1000,484.1,504.5,478.1
1214,Heater,high,1000,480.3,496.2,475.8
1215,Heater,low,1000,484.8,499.1,477.8
1216,Heater,low,1000,483.5,241.1,476.2
1217,Heater,low,1000,481.3,361.8,475.8
1218,Heater,low,1000,480.4,680.1,473.6
1219,Heater,low,1000,481.6,875.2,473.9
1220,Heater,medium,1000,495.1,82.0,480.2
1221,Heater,medium,1000,484.0,406.9,477.3
1222,Heater,medium,1000,482.8,377.9,476.6
1223,Heater,medium,1000,482.3,512.1,475.8
1224,Heater,medium,1000,478.4,378.9,474.6
1230,Microwave,high,,953.9,3826.7,930.4
1231,Microwave,high,,949.8,3563.7,926.9
1232,Microwave,high,,953.9,2973.6,929.5
1233,Microwave,high,,954.5,3174.0,928.0
1234,Microwave,high,,953.6,3195.3,926.4
1235,Microwave,high,,449.8,3194.9,427.9
1236,Microwave,medium,,449.9,2457.8,428.7
1237,Microwave,medium,,448.3,1825.5,429.1
1238,Microwave,medium,,448.6,1919.0,429.0
1239,Microwave,medium,,451.7,2961.9,428.5
1240,Vacuum,off-on,,1343.6,904.2,327.9
1241,Vacuum,off-on,,1345.1,103.9,321.1
1242,Vacuum,off-on,,1104.0,1272.8,336.0
1243,Vacuum,off-on,,955.1,730.9,313.5
1244,Vacuum,off-on,,1133.0,958.5,313.6
1245,Washing Machine,off-on,,438.5,6426.1,321.1
1246,Washing Machine,off-on,,67.5,699.6,24.1
1247,Washing Machine,off-on,,90.4,5440.8,23.5
1248,Washing Machine,off-on,,485.1,456.6,382.2
1249,Washing Machine,off-on,,419.0,8246.8,21.8
1250,Washing Machine,off-on,,420.6,8046.6,95.1
1251,Washing Machine,off-on,,416.8,7892.0,22.8
1252,Washing Machine,off-on,,420.9,4473.5,87.4
1253,Washing Machine,off-on,,411.4,13464.7,288.4
1274,Fridge,off-on,,958.8,4307.2,122.5
1275,Fridge,off-on,,632.4,1379.9,558.0
1276,Fridge,off-on,,47.0,2245.1,42.1
1277,Fridge,off-on,,46.6,1266.2,41.7
1278,Fridge,off-on,,47.7,1800.8,41.7
1296,Microwave,regular,,753.2,2643.4,733.5
1297,Microwave,regular,,741.6,2533.7,733.4
1298,Microwave,regular,,749.3,2979.0,722.7
1299,Microwave,regular,,751.2,3412.7,522.6
1300,Microwave,regular,,749.5,3209.5,614.1
1301,Microwave,medium,,741.8,3183.2,677.4
1302,Microwave,medium,,754.8,2185.8,725.9
1303,Microwave,medium,,744.8,2437.3,719.0
1304,Microwave,medium,,13.0,551.8,10.0
1305,Microwave,medium,,11.2,867.3,10.1
1306,Vacuum,off-on,,1756.7,396.3,476.5
1307,Vacuum,off-on,,1492.9,788.3,473.9
1308,Vacuum,off-on,,1786.9,553.2,477.8
1309,Vacuum,off-on,,1503.2,502.9,470.0
1310,Vacuum,off-on,,1469.9,388.9,467.9
1311,Washing Machine,off-on,,1685.3,895.1,470.1
1312,Washing Machine,off-on,,1668.1,1100.1,456.6
1313,Washing Machine,off-on,,1713.8,1329.2,446.6
1314,Washing Machine,off-on,,1720.4,613.4,450.6
1315,Washing Machine,off-on,,1704.2,876.7,432.4
1316,Air Conditioner,highcool,1200,51.6,205.6,33.7
1317,Air Conditioner,highcool,1200,50.9,200.2,33.7
1318,Air Conditioner,highcool,1200,51.4,583.8,33.8
1319,Air Conditioner,highcool,1200,50.4,201.9,33.6
1320,Air Conditioner,highcool,1200,51.3,314.2,33.7
1321,Air Conditioner,highfan,1200,51.6,191.6,33.6
1322,Air Conditioner,highfan,1200,50.7,398.1,33.5
1323,Air Conditioner,highfan,1200,51.2,119.2,33.5
1324,Air Conditioner,highfan,1200,51.2,764.2,33.5
1325,Air Conditioner,highfan,1200,50.3,460.4,33.5
1326,Air Conditioner,lowcool,1200,44.0,249.6,31.1
1327,Air Conditioner,lowcool,1200,47.5,67.5,31.0
1328,Air Conditioner,lowcool,1200,1268.8,3336.1,149.0
1329,Air Conditioner,lowcool,1200,45.3,1037.9,31.5
1330,Air Conditioner,lowcool,1200,43.7,229.4,31.1
1331,Air Conditioner,lowfan,1200,44.0,433.7,31.2
1332,Air Conditioner,lowfan,1200,45.7,435.7,31.3
1333,Air Conditioner,lowfan,1200,43.5,256.6,31.2
1334,Air Conditioner,lowfan,1200,43.0,316.4,31.1
1335,Air Conditioner,lowfan,1200,43.8,980.5,31.3
1341,Fridge,off-on,,1048.1,225.7,10.0
1342,Fridge,off-on,,1039.4,616.1,6.1
1343,Fridge,off-on,,1074.5,664.0,190.2
1344,Fridge,off-on,,1070.9,422.0,198.4
1345,Fridge,off-on,,1072.9,654.2,1029.6
1346,Heater,off-on,800,383.0,711.8,378.6
1347,Heater,off-on,800,382.4,414.3,376.6
1348,Heater,off-on,1500,713.0,219.3,706.6
1349,Heater,off-on,1500,713.2,545.8,704.7
1350,Heater,off-on,1500,708.1,488.6,703.3
1351,Heater,off-on,1500,709.5,649.5,701.1
1352,Heater,off-on,1500,707.1,208.7,702.3
1353,Heater,off-on,800,385.8,223.6,377.8
1354,Heater,off-on,800,381.8,478.6,377.6
1355,Heater,off-on,800,382.4,406.1,375.5
1361,Microwave,high,,806.5,635.9,691.4
1362,Microwave,high,,1371.7,1218.4,709.0
1363,Microwave,high,,1489.6,620.1,690.8
1364,Microwave,high,,839.8,859.3,710.3
1365,Microwave,high,,1508.9,587.9,694.2
1366,Microwave,medium,,815.3,605.7,709.2
1367,Microwave,medium,,841.3,526.4,692.6
1368,Microwave,medium,,1410.1,958.9,701.5
1369,Microwave,medium,,1417.9,420.0,686.8
1370,Microwave,medium,,1475.1,520.6,681.9
1371,Vacuum,off-on,,2152.5,1144.3,571.7
1372,Vacuum,off-on,,2319.4,252.5,572.9
1373,Vacuum,off-on,,1852.1,782.3,574.0
1374,Vacuum,off-on,,1711.9,319.8,574.3
1375,Vacuum,off-on,,1754.0,60.6,574.7
1376,Washing Machine,off-on,,1776.3,339.8,209.1
1377,Washing Machine,off-on,,1793.0,363.9,207.8
1378,Washing Machine,off-on,,1775.1,648.9,208.9
1379,Washing Machine,off-on,,1729.9,587.8,208.0
1380,Washing Machine,off-on,,1760.0,552.9,209.0
1406,Fridge,off-on,,618.3,949.4,383.2
1407,Fridge,off-on,,391.3,484.1,381.7
1408,Fridge,off-on,,389.1,553.6,379.4
1409,Fridge,off-on,,689.5,443.0,84.9
1410,Fridge,off-on,,399.6,486.3,380.4
1411,Fridge,off-on,,391.3,797.4,377.6
1412,Fridge,off-on,,386.8,403.2,373.9
1438,Microwave,medium,1400,426.8,869.3,141.7
1439,Microwave,medium,1400,728.4,2775.7,719.5
1440,Microwave,medium,1400,727.5,2850.3,719.5
1441,Microwave,medium,1400,732.2,2909.6,724.8
1442,Microwave,medium,1400,728.6,2889.5,723.7
1443,Microwave,regular,1400,365.1,1645.6,154.1
1444,Microwave,regular,1400,731.6,2872.7,688.8
1445,Microwave,regular,1400,728.4,2896.4,721.4
1446,Microwave,regular,1400,729.0,2874.4,722.7
1447,Microwave,regular,1400,726.4,2919.7,669.6
1448,Vacuum,off-on,,1844.4,468.9,593.8
1449,Vacuum,off-on,,1847.2,449.0,597.6
1450,Vacuum,off-on,,2086.4,382.1,475.0
1451,Vacuum,off-on,,1763.7,375.3,471.2
1452,Vacuum,off-on,,2055.5,502.7,471.8
1453,Vacuum,off-on,,2114.1,283.4,468.4
1454,Vacuum,off-on,,1881.2,595.0,470.7
1455,Vacuum,off-on,,1701.8,608.2,599.7
1456,Vacuum,off-on,,1697.4,618.3,600.9
1457,Vacuum,off-on,,1822.3,493.8,601.9
1458,Washing Machine,off-on,,177.7,8446.4,95.6
1459,Washing Machine,off-on,,174.5,7881.9,112.9
1460,Washing Machine,off-on,,185.8,5565.1,99.5
1461,Washing Machine,off-on,,185.4,4761.2,97.6
1462,Washing Machine,off-on,,182.3,4464.4,109.1
1463,Air Conditioner,highcool,,132.9,2257.7,70.4
1464,Air Conditioner,highcool,,131.7,2593.2,71.5
1465,Air Conditioner,highcool,,131.2,916.1,70.2
1466,Air Conditioner,highcool,,124.9,740.4,70.2
1467,Air Conditioner,highcool,,131.8,2179.8,70.2
1468,Air Conditioner,highfan,,119.7,2656.0,71.4
1469,Air Conditioner,highfan,,126.2,2385.3,72.8
1470,Air Conditioner,highfan,,124.8,568.1,68.8
1471,Air Conditioner,highfan,,125.6,2806.4,71.3
1472,Air Conditioner,lowcool,,103.2,2084.8,77.3
1473,Air Conditioner,lowcool,,95.6,2879.1,76.3
1474,Air Conditioner,lowcool,,94.9,1907.0,71.5
1475,Air Conditioner,lowcool,,94.7,2355.9,73.2
1476,Air Conditioner,lowcool,,99.0,2748.2,75.5
1477,Air Conditioner,lowfan,,88.8,1073.0,65.9
1478,Air Conditioner,lowfan,,92.7,1087.5,65.2
1479,Air Conditioner,lowfan,,90.2,1668.6,70.4
1480,Air Conditioner,lowfan,,91.2,1541.5,67.2
1481,Air Conditioner,lowfan,,95.8,1478.1,66.7
1521,Fridge,off-on,,551.3,534.3,68.3
1522,Fridge,off-on,,602.2,230.5,86.5
1523,Fridge,off-on,,351.4,10.6,87.2
1524,Fridge,off-on,,446.5,431.0,71.3
1525,Fridge,off-on,,536.5,458.6,70.1
1526,Heater,high,1500,637.1,517.7,630.7
1527,Heater,high,1500,639.5,408.4,631.7
1528,Heater,high,1500,640.4,328.2,632.6
1529,Heater,high,1500,639.4,621.5,633.0
1530,Heater,high,1500,637.7,210.4,632.8
1531,Microwave,medium,1350,676.0,2373.2,665.4
1532,Microwave,medium,1350,681.2,1747.3,670.2
1533,Microwave,medium,1350,677.9,1886.0,662.4
1534,Microwave,medium,1350,682.9,1674.0,671.2
1535,Microwave,medium,1350,682.7,2195.5,666.2
1536,Microwave,regular,1350,697.0,2056.3,679.0
1537,Microwave,regular,1350,693.7,1940.5,674.5
1538,Microwave,regular,1350,692.1,1923.5,672.3
1539,Microwave,regular,1350,688.2,1580.9,671.5
1540,Microwave,regular,1350,688.9,1919.9,671.1
1541,Vacuum,off-on,,1709.5,267.2,595.5
1542,Vacuum,off-on,,1686.5,341.5,593.3
1543,Vacuum,off-on,,1419.7,570.7,596.5
1544,Vacuum,off-on,,1393.9,750.6,596.8
1545,Vacuum,off-on,,1530.1,417.7,591.0
1546,Washing Machine,off-on,1200,486.6,50.2,425.0
1547,Washing Machine,off-on,1200,1464.9,723.4,414.4
1548,Washing Machine,off-on,1200,1427.4,106.3,417.6
1549,Washing Machine,off-on,1200,1415.7,564.7,413.3
1550,Washing Machine,off-on,1200,1458.0,862.4,409.4
1551,Air Conditioner,highcool,60.7W,52.6,783.0,32.4
1552,Air Conditioner,highcool,60.7W,51.6,1010.7,32.3
1553,Air Conditioner,highcool,60.7W,51.9,496.7,32.2
1554,Air Conditioner,highcool,60.7W,51.9,1116.7,32.2
1555,Air Conditioner,highcool,60.7W,52.0,710.8,32.2
1556,Air Conditioner,highfan,60.7W,52.8,791.8,32.4
1557,Air Conditioner,highfan,60.7W,52.1,624.2,32.4
1558,Air Conditioner,highfan,60.7W,52.1,1340.3,32.4
1559,Air Conditioner,highfan,60.7W,52.0,1256.9,32.4
1560,Air Conditioner,highfan,60.7W,51.5,689.4,32.4
1561,Air Conditioner,lowcool,60.7W,38.1,388.5,30.7
1562,Air Conditioner,lowcool,60.7W,38.1,943.7,27.9
1563,Air Conditioner,lowcool,60.7W,38.5,422.3,30.7
1564,Air Conditioner,lowcool,60.7W,38.0,561.2,29.0
1565,Air Conditioner,lowcool,60.7W,38.3,530.8,28.3
1566,Air Conditioner,lowfan,60.7W,37.7,689.4,27.9
1567,Air Conditioner,lowfan,60.7W,37.6,844.8,27.2
1568,Air Conditioner,lowfan,60.7W,37.2,811.0,27.5
1569,Air Conditioner,lowfan,60.7W,38.8,554.5,30.7
1580,Fridge,off-on,,917.0,4592.1,407.4
1581,Fridge,off-on,,888.2,3425.0,403.5
1582,Fridge,off-on,,893.6,4771.6,405.1
1583,Fridge,off-on,,883.6,5499.7,402.3
1584,Fridge,off-on,,894.3,4537.3,65.3
1605,Heater,high,1500,384.7,1908.3,377.2
1606,Heater,high,1500,427.3,1891.7,419.5
1607,Heater,high,1500,437.2,1941.7,428.1
1608,Heater,high,1500,454.2,1908.0,442.4
1609,Heater,high,1500,480.8,1891.2,470.6
1610,Heater,low,1500,202.7,1889.9,197.2
1611,Heater,low,1500,237.7,68.3,220.2
1612,Heater,low,1500,227.0,1891.6,222.4
1613,Heater,low,1500,233.3,1906.5,227.5
1614,Heater,low,1500,245.4,1858.4,240.3
1620,Microwave,high,1050,778.8,718.3,516.6
1621,Microwave,high,1050,1007.0,382.3,515.2
1622,Microwave,high,1050,652.8,393.7,515.4
1623,Microwave,high,1050,962.8,912.8,513.6
1624,Microwave,high,1050,1022.2,771.4,514.9
1625,Microwave,medium,1050,1010.4,689.3,520.4
1626,Microwave,medium,1050,1026.9,578.5,519.1
1627,Microwave,medium,1050,678.9,479.1,518.7
1628,Microwave,medium,1050,1034.8,533.5,519.6
1629,Microwave,medium,1050,698.7,1233.5,517.6
1630,Washing Machine,off-on,,35.9,8684.5,16.2
1631,Washing Machine,off-on,,34.8,9731.6,15.1
1632,Washing Machine,off-on,,29.7,8617.8,14.9
1633,Washing Machine,off-on,,37.2,9571.4,16.2
1634,Washing Machine,off-on,,38.5,9054.8,14.5
1635,Air Conditioner,highcool,563.5,1305.9,1113.7,132.3
1636,Air Conditioner,highcool,563.5,1248.4,368.2,346.8
1637,Air Conditioner,highcool,563.5,1242.1,552.4,136.1
1638,Air Conditioner,highcool,563.5,1335.4,572.4,628.4
1639,Air Conditioner,highcool,563.5,36.3,1151.4,25.7
1640,Air Conditioner,highcool,563.5,36.8,520.0,23.0
1641,Air Conditioner,highcool,563.5,1226.6,5889.2,142.6
1642,Air Conditioner,highcool,563.5,35.9,268.7,23.1
1643,Air Conditioner,highcool,563.5,36.0,302.6,23.1
1644,Air Conditioner,highfan,563.5,36.4,621.9,22.7
1645,Air Conditioner,highfan,563.5,37.2,383.7,22.8
1646,Air Conditioner,highfan,563.5,36.2,780.5,22.7
1647,Air Conditioner,highfan,563.5,36.3,775.7,22.8
1648,Air Conditioner,highfan,563.5,37.4,496.1,22.7
1649,Air Conditioner,lowcool,563.5,1254.6,731.3,122.7
1650,Air Conditioner,lowcool,563.5,1250.8,433.5,440.2
1651,Air Conditioner,lowcool,563.5,1244.6,1137.3,126.2
1652,Air Conditioner,lowcool,563.5,1287.3,960.7,1227.2
1653,Air Conditioner,lowcool,563.5,1312.1,1726.2,126.3
1654,Air Conditioner,lowfan,563.5,20.0,432.3,17.2
1655,Air Conditioner,lowfan,563.5,20.3,747.9,17.1
1656,Air Conditioner,lowfan,563.5,20.2,859.4,17.0
1657,Air Conditioner,lowfan,563.5,20.1,718.6,16.9
1658,Air Conditioner,lowfan,563.5,20.1,602.9,17.0
1659,Air Conditioner,highcool,1560,60.0,520.3,33.4
1660,Air Conditioner,highcool,1560,59.5,898.3,33.4
1661,Air Conditioner,highcool,1560,58.8,924.3,33.4
1662,Air Conditioner,highcool,1560,58.4,772.7,33.4
1663,Air Conditioner,highcool,1560,58.6,439.7,33.4
1664,Air Conditioner,highfan,1560,58.3,268.4,33.5
1665,Air Conditioner,highfan,1560,59.4,698.6,33.4
1666,Air Conditioner,highfan,1560,58.1,653.2,33.5
1667,Air Conditioner,highfan,1560,57.9,634.4,33.5
1668,Air Conditioner,highfan,1560,58.7,551.7,33.4
1669,Air Conditioner,lowcool,1560,39.5,457.1,29.8
1670,Air Conditioner,lowcool,1560,41.2,578.6,34.9
1671,Air Conditioner,lowcool,1560,40.7,514.7,35.0
1672,Air Conditioner,lowcool,1560,40.6,687.4,34.0
1673,Air Conditioner,lowcool,1560,40.7,794.6,34.3
1674,Air Conditioner,lowfan,1560,40.0,305.4,30.7
1675,Air Conditioner,lowfan,1560,37.5,832.9,28.1
1676,Air Conditioner,lowfan,1560,40.0,887.4,33.6
1677,Air Conditioner,lowfan,1560,39.6,669.2,32.7
1678,Air Conditioner,lowfan,1560,40.0,821.7,33.1
1709,Fridge,off-on,,443.7,1136.1,415.8
1710,Fridge,off-on,,450.2,899.6,414.0
1711,Fridge,off-on,,24.1,1470.3,22.6
1712,Fridge,off-on,,450.4,1137.9,411.8
1713,Fridge,off-on,,23.7,1052.6,17.6
1714,Fridge,off-on,,4.6,1592.3,3.7
1715,Fridge,off-on,,25.0,1688.0,22.6
1716,Fridge,off-on,,454.7,587.1,408.1
1717,Fridge,off-on,,25.3,52.2,22.5
1718,Fridge,off-on,,448.0,880.8,410.8
1744,Microwave,medium,1350,652.4,2775.9,635.7
1745,Microwave,medium,1350,650.6,2286.9,635.4
1746,Microwave,medium,1350,648.6,1992.1,634.9
1747,Microwave,medium,1350,259.0,764.7,149.5
1748,Microwave,medium,1350,39.9,683.8,18.9
1749,Microwave,regular,1350,666.5,689.3,642.3
1750,Microwave,regular,1350,646.4,2027.2,640.8
1751,Microwave,regular,1350,653.8,2422.7,641.9
1752,Microwave,regular,1350,658.5,2851.9,639.3
1753,Microwave,regular,1350,1329.4,1338.0,639.1
1754,Vacuum,off-on,1200,1769.6,438.0,490.0
1755,Vacuum,off-on,1200,1675.6,759.8,488.7
1756,Vacuum,off-on,1200,1699.0,546.8,483.8
1757,Vacuum,off-on,1200,1658.0,726.0,480.9
1758,Vacuum,off-on,1200,1651.4,525.6,476.6
1759,Washing Machine,off-on,,896.4,63.5,303.1
1760,Washing Machine,off-on,,1870.9,679.4,302.6
1761,Washing Machine,off-on,,1847.2,947.1,287.1
1762,Washing Machine,off-on,,1864.1,908.3,277.0
1763,Washing Machine,off-on,,1816.9,837.3,271.7
1769,Fridge,off-on,23,674.4,370.4,650.4
1770,Fridge,off-on,23,659.7,562.0,642.2
1771,Fridge,off-on,23,659.1,871.1,637.9
1772,Fridge,off-on,23,663.9,730.9,640.5
1773,Fridge,off-on,23,813.4,285.4,652.8
1779,Microwave,high,920,465.6,3970.3,462.4
1780,Microwave,high,920,479.4,694.9,464.1
1781,Microwave,high,920,464.4,3705.1,449.7
1782,Microwave,high,920,1022.8,361.3,464.5
1783,Microwave,high,920,465.9,3548.1,463.9
1784,Microwave,medium,920,821.1,363.9,465.0
1785,Microwave,medium,920,471.2,502.1,463.8
1786,Microwave,medium,920,465.3,3806.9,463.5
1787,Microwave,medium,920,466.0,3781.5,463.8
1788,Microwave,medium,920,640.9,1101.5,464.8
1789,Washing Machine,off-on,,1483.0,513.2,408.6
1790,Washing Machine,off-on,,1481.6,218.4,402.4
1791,Washing Machine,off-on,,1490.3,534.3,399.8
1792,Washing Machine,off-on,,1483.9,404.6,398.0
1793,Washing Machine,off-on,,1468.9,297.4,401.6
