id,type,brand,wattage_nominal,voltage_nominal,peak_A,rise_time_ms,rms_steady_A,inrush_ratio
1139,Air Conditioner,Sharp,740,120,0.57,776.07,0.39,1.47
1140,Air Conditioner,Sharp,740,120,0.62,769.7,0.4,1.57
1141,Air Conditioner,Sharp,740,120,0.6,739.17,0.4,1.53
1142,Air Conditioner,Sharp,740,120,0.59,1162.0,0.4,1.5
1143,Air Conditioner,Sharp,740,120,0.59,1337.0,0.4,1.49
1144,Air Conditioner,Sharp,740,120,0.6,1374.33,0.4,1.51
1175,Fridge,Frigidaire,,115,8.69,462.07,0.99,8.78
1176,Fridge,Frigidaire,,115,8.65,575.63,0.98,8.84
1177,Fridge,Frigidaire,,115,8.74,456.27,0.99,8.86
1178,Fridge,Frigidaire,,115,8.73,338.93,0.98,8.87
1179,Fridge,Frigidaire,,115,8.64,1634.8,0.97,8.89
1240,Vacuum,Dirtdevil,,120,13.24,904.17,2.88,4.59
1241,Vacuum,Dirtdevil,,120,13.23,103.87,2.82,4.69
1242,Vacuum,Dirtdevil,,120,10.49,1272.77,2.97,3.54
1243,Vacuum,Dirtdevil,,120,8.91,730.93,2.76,3.23
1244,Vacuum,Dirtdevil,,120,10.83,962.7,2.76,3.93
1245,Washing Machine,Whirlpool,,,3.87,6424.33,2.88,1.35
1246,Washing Machine,Whirlpool,,,0.98,643.67,0.45,2.15
1247,Washing Machine,Whirlpool,,,0.92,144.0,0.47,1.98
1248,Washing Machine,Whirlpool,,,4.45,457.23,3.36,1.33
1249,Washing Machine,Whirlpool,,,3.73,8246.77,0.45,8.22
1250,Washing Machine,Whirlpool,,,3.72,8044.67,1.67,2.22
1251,Washing Machine,Whirlpool,,,3.71,7892.0,0.46,8.05
1252,Washing Machine,Whirlpool,,,3.72,4473.47,1.61,2.31
1253,Washing Machine,Whirlpool,,,3.67,13464.67,2.61,1.41
1274,Fridge,Kenmore,,,9.91,4308.53,1.08,9.21
1275,Fridge,Kenmore,,,6.61,1381.43,6.06,1.09
1276,Fridge,Kenmore,,,0.42,2245.53,0.37,1.12
1277,Fridge,Kenmore,,,0.42,1266.37,0.37,1.15
1278,Fridge,Kenmore,,,0.43,1801.1,0.37,1.17
1306,Vacuum,Eureka,,120,19.13,396.23,4.33,4.42
1307,Vacuum,Eureka,,120,15.32,788.27,4.31,3.56
1308,Vacuum,Eureka,,120,19.29,553.87,4.35,4.44
1309,Vacuum,Eureka,,120,15.61,502.9,4.28,3.65
1310,Vacuum,Eureka,,120,15.17,388.8,4.26,3.56
1311,Washing Machine,Kenmore,,,16.35,895.07,5.09,3.21
1312,Washing Machine,Kenmore,,,16.14,1100.1,5.0,3.23
1313,Washing Machine,Kenmore,,,16.58,1329.13,4.92,3.37
1314,Washing Machine,Kenmore,,,16.61,615.17,4.95,3.36
1315,Washing Machine,Kenmore,,,16.52,878.7,4.82,3.43
1316,Air Conditioner,Frigidaire,1200,120,0.45,205.57,0.3,1.52
1317,Air Conditioner,Frigidaire,1200,120,0.44,200.17,0.3,1.5
1318,Air Conditioner,Frigidaire,1200,120,0.45,583.83,0.3,1.51
1319,Air Conditioner,Frigidaire,1200,120,0.44,201.93,0.3,1.5
1320,Air Conditioner,Frigidaire,1200,120,0.45,314.23,0.3,1.51
1321,Air Conditioner,Frigidaire,1200,120,0.45,191.53,0.3,1.51
1322,Air Conditioner,Frigidaire,1200,120,0.44,398.13,0.29,1.51
1323,Air Conditioner,Frigidaire,1200,120,0.45,119.2,0.29,1.52
1324,Air Conditioner,Frigidaire,1200,120,0.45,764.23,0.29,1.52
1325,Air Conditioner,Frigidaire,1200,120,0.44,460.43,0.29,1.5
1326,Air Conditioner,Frigidaire,1200,120,0.39,249.57,0.28,1.37
1327,Air Conditioner,Frigidaire,1200,120,0.38,67.6,0.28,1.35
1328,Air Conditioner,Frigidaire,1200,120,12.77,3337.0,1.39,9.16
1329,Air Conditioner,Frigidaire,1200,120,0.41,1037.9,0.28,1.46
1330,Air Conditioner,Frigidaire,1200,120,0.39,229.37,0.28,1.39
1331,Air Conditioner,Frigidaire,1200,120,0.39,433.67,0.28,1.37
1332,Air Conditioner,Frigidaire,1200,120,0.42,435.67,0.28,1.48
1333,Air Conditioner,Frigidaire,1200,120,0.39,256.63,0.28,1.38
1334,Air Conditioner,Frigidaire,1200,120,0.38,316.43,0.28,1.35
1335,Air Conditioner,Frigidaire,1200,120,0.39,980.53,0.28,1.39
1341,Fridge,Kenmore,,114,10.28,225.63,0.1,104.44
1342,Fridge,Kenmore,,114,10.2,617.07,0.08,134.7
1343,Fridge,Kenmore,,114,10.47,664.83,1.97,5.32
1344,Fridge,Kenmore,,114,10.42,439.43,2.03,5.13
1345,Fridge,Kenmore,,114,10.43,654.23,10.0,1.04
1371,Vacuum,Hoover,,,20.99,1144.23,5.06,4.15
1372,Vacuum,Hoover,,,22.91,252.47,5.06,4.53
1373,Vacuum,Hoover,,,17.61,782.27,5.06,3.48
1374,Vacuum,Hoover,,,16.15,319.73,5.07,3.19
1375,Vacuum,Hoover,,,16.44,61.2,5.07,3.24
1376,Washing Machine,Kenmore,,120,17.01,339.8,3.53,4.82
1377,Washing Machine,Kenmore,,120,17.13,364.73,3.52,4.86
1378,Washing Machine,Kenmore,,120,17.0,650.87,3.53,4.82
1379,Washing Machine,Kenmore,,120,16.52,587.67,3.52,4.69
1380,Washing Machine,Kenmore,,120,16.83,552.9,3.52,4.78
1406,Fridge,Frigidaire,,115,5.77,950.37,3.71,1.55
1407,Fridge,Frigidaire,,115,3.79,488.63,3.67,1.03
1408,Fridge,Frigidaire,,115,3.74,554.47,3.64,1.03
1409,Fridge,Frigidaire,,115,6.46,444.0,0.77,8.35
1410,Fridge,Frigidaire,,115,3.85,487.7,3.7,1.04
1411,Fridge,Frigidaire,,115,3.78,798.67,3.66,1.03
1412,Fridge,Frigidaire,,115,3.72,404.4,3.61,1.03
1448,Vacuum,Bissel,,120,18.99,468.97,5.32,3.57
1449,Vacuum,Bissel,,120,18.92,445.87,5.34,3.54
1450,Vacuum,Hoover,,120,20.34,377.7,4.14,4.91
1451,Vacuum,Hoover,,120,16.71,375.27,4.1,4.08
1452,Vacuum,Hoover,,120,19.77,503.63,4.11,4.81
1453,Vacuum,Hoover,,120,20.39,284.17,4.08,4.99
1454,Vacuum,Hoover,,120,17.96,592.07,4.1,4.38
1455,Vacuum,Bissel,,120,17.14,605.1,5.37,3.19
1456,Vacuum,Bissel,,120,17.09,618.2,5.38,3.18
1457,Vacuum,Bissel,,120,18.64,493.77,5.39,3.46
1458,Washing Machine,Lg,,,2.39,8443.23,1.35,1.77
1459,Washing Machine,Lg,,,2.35,7879.03,1.58,1.49
1460,Washing Machine,Lg,,,2.48,5565.1,1.4,1.78
1461,Washing Machine,Lg,,,2.47,4761.1,1.38,1.8
1462,Washing Machine,Lg,,,2.44,4464.43,1.52,1.6
1463,Air Conditioner,Lg,,,1.19,2258.67,0.6,1.99
1464,Air Conditioner,Lg,,,1.18,2594.13,0.61,1.94
1465,Air Conditioner,Lg,,,1.18,916.93,0.6,1.98
1466,Air Conditioner,Lg,,,1.12,741.37,0.6,1.87
1467,Air Conditioner,Lg,,,1.18,2180.57,0.6,1.98
1468,Air Conditioner,Lg,,,1.09,2656.03,0.61,1.8
1469,Air Conditioner,Lg,,,1.14,2386.23,0.63,1.82
1470,Air Conditioner,Lg,,,1.15,569.7,0.59,1.93
1471,Air Conditioner,Lg,,,1.14,2807.33,0.61,1.86
1472,Air Conditioner,Lg,,,0.89,2085.33,0.66,1.35
1473,Air Conditioner,Lg,,,0.85,2879.07,0.65,1.31
1474,Air Conditioner,Lg,,,0.85,1907.03,0.6,1.4
1475,Air Conditioner,Lg,,,0.85,2355.93,0.62,1.37
1476,Air Conditioner,Lg,,,0.86,2748.23,0.64,1.34
1477,Air Conditioner,Lg,,,0.82,1072.93,0.56,1.47
1478,Air Conditioner,Lg,,,0.83,1087.47,0.55,1.51
1479,Air Conditioner,Lg,,,0.83,1668.6,0.59,1.4
1480,Air Conditioner,Lg,,,0.82,1541.47,0.57,1.46
1481,Air Conditioner,Lg,,,0.84,1478.13,0.56,1.49
1521,Fridge,Ge,,115,5.28,535.5,0.6,8.74
1522,Fridge,Ge,,115,5.62,231.33,0.75,7.52
1523,Fridge,Ge,,115,3.48,8.33,0.75,4.64
1524,Fridge,Ge,,115,4.26,432.23,0.62,6.82
1525,Fridge,Ge,,115,5.12,459.9,0.61,8.35
1541,Vacuum,Hoover,,120,19.46,268.0,5.36,3.63
1542,Vacuum,Hoover,,120,19.13,342.3,5.34,3.58
1543,Vacuum,Hoover,,120,15.04,570.7,5.37,2.8
1544,Vacuum,Hoover,,120,14.65,750.37,5.37,2.73
1545,Vacuum,Hoover,,120,16.68,418.57,5.31,3.14
1546,Washing Machine,Whirlpool,1200,120,5.14,60.7,4.7,1.09
1547,Washing Machine,Whirlpool,1200,120,13.48,724.93,4.63,2.91
1548,Washing Machine,Whirlpool,1200,120,13.11,106.13,4.64,2.83
1549,Washing Machine,Whirlpool,1200,120,13.0,560.87,4.61,2.82
1550,Washing Machine,Whirlpool,1200,120,13.37,863.7,4.59,2.91
1551,Air Conditioner,Frigidaire,60.7W,115,0.46,782.93,0.28,1.63
1552,Air Conditioner,Frigidaire,60.7W,115,0.45,1010.67,0.28,1.61
1553,Air Conditioner,Frigidaire,60.7W,115,0.45,496.67,0.28,1.62
1554,Air Conditioner,Frigidaire,60.7W,115,0.45,1116.73,0.28,1.61
1555,Air Conditioner,Frigidaire,60.7W,115,0.45,710.8,0.28,1.62
1556,Air Conditioner,Frigidaire,60.7W,115,0.46,791.77,0.28,1.63
1557,Air Conditioner,Frigidaire,60.7W,115,0.45,624.2,0.28,1.61
1558,Air Conditioner,Frigidaire,60.7W,115,0.45,1340.3,0.28,1.61
1559,Air Conditioner,Frigidaire,60.7W,115,0.45,1256.93,0.28,1.6
1560,Air Conditioner,Frigidaire,60.7W,115,0.45,689.37,0.28,1.59
1561,Air Conditioner,Frigidaire,60.7W,115,0.34,388.5,0.27,1.22
1562,Air Conditioner,Frigidaire,60.7W,115,0.36,943.73,0.25,1.41
1563,Air Conditioner,Frigidaire,60.7W,115,0.35,422.3,0.27,1.26
1564,Air Conditioner,Frigidaire,60.7W,115,0.34,561.2,0.26,1.31
1565,Air Conditioner,Frigidaire,60.7W,115,0.36,530.77,0.26,1.41
1566,Air Conditioner,Frigidaire,60.7W,115,0.35,689.37,0.25,1.36
1567,Air Conditioner,Frigidaire,60.7W,115,0.36,844.83,0.25,1.43
1568,Air Conditioner,Frigidaire,60.7W,115,0.34,811.0,0.25,1.36
1569,Air Conditioner,Frigidaire,60.7W,115,0.37,554.53,0.27,1.33
1580,Fridge,Kenmore,,115,9.01,4593.17,4.19,2.15
1581,Fridge,Kenmore,,115,8.8,3425.4,4.13,2.13
1582,Fridge,Kenmore,,115,8.85,4772.0,4.15,2.13
1583,Fridge,Kenmore,,115,8.72,5500.67,4.11,2.12
1584,Fridge,Kenmore,,115,8.84,4538.27,0.57,15.39
1630,Washing Machine,Maytag,,,0.61,7743.83,0.31,1.97
1631,Washing Machine,Maytag,,,0.59,9738.43,0.29,2.04
1632,Washing Machine,Maytag,,,0.52,8617.77,0.29,1.82
1633,Washing Machine,Maytag,,,0.64,9571.4,0.31,2.05
1634,Washing Machine,Maytag,,,0.65,9051.27,0.28,2.32
1635,Air Conditioner,General Electricity,563.5,115,13.66,1114.77,1.19,11.46
1636,Air Conditioner,General Electricity,563.5,115,13.44,368.1,3.69,3.64
1637,Air Conditioner,General Electricity,563.5,115,13.3,518.13,1.22,10.88
1638,Air Conditioner,General Electricity,563.5,115,13.83,573.53,6.69,2.07
1639,Air Conditioner,General Electricity,563.5,115,0.32,1151.43,0.23,1.36
1640,Air Conditioner,General Electricity,563.5,115,0.32,520.0,0.21,1.51
1641,Air Conditioner,General Electricity,563.5,115,13.17,5889.07,1.28,10.32
1642,Air Conditioner,General Electricity,563.5,115,0.31,268.73,0.21,1.47
1643,Air Conditioner,General Electricity,563.5,115,0.31,302.63,0.21,1.46
1644,Air Conditioner,General Electricity,563.5,115,0.32,621.87,0.21,1.5
1645,Air Conditioner,General Electricity,563.5,115,0.33,383.7,0.21,1.54
1646,Air Conditioner,General Electricity,563.5,115,0.31,780.5,0.21,1.49
1647,Air Conditioner,General Electricity,563.5,115,0.32,775.67,0.21,1.49
1648,Air Conditioner,General Electricity,563.5,115,0.33,496.13,0.21,1.57
1649,Air Conditioner,General Electricity,563.5,115,13.54,734.1,1.13,12.02
1650,Air Conditioner,General Electricity,563.5,115,13.58,432.63,4.73,2.87
1651,Air Conditioner,General Electricity,563.5,115,13.42,1137.2,1.15,11.65
1652,Air Conditioner,General Electricity,563.5,115,13.65,961.97,13.19,1.03
1653,Air Conditioner,General Electricity,563.5,115,13.63,1727.43,1.15,11.83
1654,Air Conditioner,General Electricity,563.5,115,0.17,432.3,0.15,1.18
1655,Air Conditioner,General Electricity,563.5,115,0.17,747.87,0.15,1.18
1656,Air Conditioner,General Electricity,563.5,115,0.17,859.4,0.15,1.18
1657,Air Conditioner,General Electricity,563.5,115,0.17,718.6,0.14,1.18
1658,Air Conditioner,General Electricity,563.5,115,0.17,602.93,0.15,1.18
1659,Air Conditioner,Frigidaire,1560,120,0.52,520.33,0.29,1.8
1660,Air Conditioner,Frigidaire,1560,120,0.51,898.27,0.29,1.79
1661,Air Conditioner,Frigidaire,1560,120,0.51,924.27,0.29,1.77
1662,Air Conditioner,Frigidaire,1560,120,0.5,772.67,0.29,1.76
1663,Air Conditioner,Frigidaire,1560,120,0.51,439.7,0.29,1.76
1664,Air Conditioner,Frigidaire,1560,120,0.5,268.43,0.29,1.75
1665,Air Conditioner,Frigidaire,1560,120,0.51,698.57,0.29,1.78
1666,Air Conditioner,Frigidaire,1560,120,0.5,653.17,0.29,1.74
1667,Air Conditioner,Frigidaire,1560,120,0.5,634.4,0.29,1.74
1668,Air Conditioner,Frigidaire,1560,120,0.5,551.67,0.29,1.76
1669,Air Conditioner,Frigidaire,1560,120,0.35,457.13,0.26,1.33
1670,Air Conditioner,Frigidaire,1560,120,0.38,578.6,0.3,1.27
1671,Air Conditioner,Frigidaire,1560,120,0.35,514.7,0.3,1.16
1672,Air Conditioner,Frigidaire,1560,120,0.37,687.37,0.29,1.27
1673,Air Conditioner,Frigidaire,1560,120,0.36,794.63,0.3,1.22
1674,Air Conditioner,Frigidaire,1560,120,0.37,305.37,0.27,1.38
1675,Air Conditioner,Frigidaire,1560,120,0.33,832.87,0.25,1.32
1676,Air Conditioner,Frigidaire,1560,120,0.36,887.43,0.29,1.25
1677,Air Conditioner,Frigidaire,1560,120,0.36,669.17,0.28,1.26
1678,Air Conditioner,Frigidaire,1560,120,0.37,821.63,0.29,1.29
1709,Fridge,Frigidaire,,115,4.25,1137.47,4.05,1.05
1710,Fridge,Frigidaire,,115,4.29,900.53,4.05,1.06
1711,Fridge,Frigidaire,,115,0.21,1470.1,0.19,1.07
1712,Fridge,Frigidaire,,115,4.28,1138.63,4.01,1.07
1713,Fridge,Frigidaire,,115,0.2,1052.43,0.15,1.34
1714,Fridge,Frigidaire,,115,0.06,1593.0,0.04,1.72
1715,Fridge,Frigidaire,,115,0.22,1687.9,0.19,1.13
1716,Fridge,Frigidaire,,115,4.29,587.97,3.95,1.08
1717,Fridge,Frigidaire,,115,0.21,1047.7,0.19,1.09
1718,Fridge,Frigidaire,,115,4.24,881.87,3.99,1.06
1754,Vacuum,Dirtdevil,1200,120,17.62,438.67,4.33,4.06
1755,Vacuum,Dirtdevil,1200,120,16.97,759.73,4.34,3.91
1756,Vacuum,Dirtdevil,1200,120,17.15,547.6,4.29,4.0
1757,Vacuum,Dirtdevil,1200,120,16.75,721.73,4.27,3.93
1758,Vacuum,Dirtdevil,1200,120,16.69,525.57,4.23,3.95
1759,Washing Machine,Maytag,,,9.21,65.4,3.53,2.61
1760,Washing Machine,Maytag,,,18.91,680.33,3.52,5.37
1761,Washing Machine,Maytag,,,18.69,948.1,3.43,5.45
1762,Washing Machine,Maytag,,,18.81,909.23,3.37,5.58
1763,Washing Machine,Maytag,,,18.42,838.3,3.34,5.52
1769,Fridge,Greatvalue,23,120,6.89,371.97,6.61,1.04
1770,Fridge,Greatvalue,23,120,6.69,966.77,6.49,1.03
1771,Fridge,Greatvalue,23,120,6.58,881.97,6.42,1.02
1772,Fridge,Greatvalue,23,120,6.56,732.13,6.39,1.03
1773,Fridge,Greatvalue,23,120,7.83,286.37,6.59,1.19
1789,Washing Machine,Whirlpool,,,14.59,513.2,4.62,3.16
1790,Washing Machine,Whirlpool,,,14.62,218.33,4.58,3.19
1791,Washing Machine,Whirlpool,,,14.66,534.3,4.57,3.21
1792,Washing Machine,Whirlpool,,,14.57,404.63,4.55,3.2
1793,Washing Machine,Whirlpool,,,14.42,298.73,4.57,3.16
